u-g,g-r,r-i,i-z,class
0.20000000000000284,0.047999999999998266,0.2729999999999997,-0.10899999999999821,qso
2.515442,1.3746039999999997,0.5798109999999994,0.3564059999999998,star
1.2620000000000005,0.8679999999999986,0.9000000000000021,0.5549999999999997,wd
0.3210000000000015,0.2959999999999994,0.2099999999999973,0.11400000000000077,qso
1.8169779999999989,0.7131700000000016,0.2507780000000004,0.16311800000000076,star
-0.125,-0.44399999999999906,-0.33500000000000085,-0.10999999999999943,wd
0.2970000000000006,-0.17799999999999727,-0.20400000000000063,-0.2510000000000012,wd
1.1353660000000012,0.3088610000000003,0.097135999999999,0.10847800000000163,star
0.053000000000000824,0.14300000000000068,0.2049999999999983,-0.04299999999999926,qso
1.2571779999999997,0.48636399999999824,0.2006149999999991,0.052590000000002135,star
0.4770000000000003,0.2970000000000006,0.34499999999999886,-0.13100000000000023,qso
0.5060000000000002,0.23900000000000077,0.08999999999999986,0.129999999999999,wd
0.29100000000000037,-0.19299999999999784,-0.17600000000000193,-0.3589999999999982,wd
1.0867770000000014,0.46660400000000024,0.23820899999999767,-0.045546999999999116,star
0.26599999999999824,-0.32399999999999807,-0.35300000000000153,-0.565999999999999,wd
0.19899999999999807,-0.019999999999999574,-0.06299999999999883,-0.11200000000000188,wd
0.14299999999999713,0.267000000000003,0.17299999999999827,0.5160000000000018,qso
0.8810270000000031,0.31834399999999974,0.11337299999999928,0.0806939999999976,star
1.1580729999999981,0.3988700000000023,-0.03394300000000072,0.21139399999999853,star
-0.04299999999999926,-0.2680000000000007,-0.21699999999999875,-0.2270000000000003,wd
0.21300000000000097,0.347999999999999,0.07600000000000051,-0.012000000000000455,qso
0.23799999999999955,0.3490000000000002,-0.03400000000000247,-0.01899999999999835,qso
0.6050000000000004,0.7040000000000006,0.2950000000000017,0.20899999999999963,qso
0.3760000000000012,0.01899999999999835,-0.11400000000000077,-0.1789999999999985,wd
1.4295749999999998,0.533887,0.168569999999999,0.08824699999999908,star
0.029000000000003467,-0.38300000000000267,-0.28200000000000003,-0.23699999999999832,wd
0.5609999999999999,0.24799999999999756,0.11200000000000188,-0.037000000000002586,wd
2.808928999999999,1.4021660000000011,0.6950160000000007,0.3868139999999993,star
0.4039999999999999,0.07199999999999918,0.038999999999997925,-0.03399999999999892,wd
0.3340000000000032,0.24299999999999855,0.1059999999999981,0.4200000000000017,qso
0.44200000000000017,-0.1460000000000008,-0.2049999999999983,-0.40700000000000003,wd
0.9972959999999986,0.31312300000000093,0.1290130000000005,0.002327000000001078,star
2.573366,1.1666050000000023,0.5017549999999993,0.2182720000000007,star
0.11200000000000188,0.045999999999999375,0.259999999999998,0.0870000000000033,qso
0.1839999999999975,-0.06599999999999895,0.12900000000000134,0.03200000000000003,qso
1.800177999999999,0.7264470000000003,0.21994800000000048,0.15189999999999948,star
1.1169130000000003,0.4697749999999985,0.14074700000000107,0.06750500000000059,star
